mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,0.010013580322265625,0.0095367431640625,0.009059906005859375
mps-uncap,0.9,0.0095367431640625,0.010967254638671875,0.010967254638671875
mps-uncap,1.0,0.011920928955078125,0.011205673217773438,0.015497207641601562
mps-uncap,0.5,0.010728836059570312,0.010967254638671875,0.009298324584960938
mps-uncap,0.6,0.009775161743164062,0.010967254638671875,0.009298324584960938
mps-uncap,0.7,0.0095367431640625,0.009298324584960938,0.0095367431640625
mps-uncap,0.1,0.015020370483398438,0.011682510375976562,0.014066696166992188
mps-uncap,0.2,0.0133514404296875,0.011444091796875,0.011682510375976562
mps-uncap,0.3,0.011920928955078125,0.011205673217773438,0.011444091796875
mps-uncap,0.4,0.011920928955078125,0.011205673217773438,0.011205673217773438
