mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,15.008287429809567,11.468060016632071,12.236480712890625
mps-uncap,0.9,14.25961494445801,9.999783039093016,11.45074367523193
mps-uncap,1.0,14.35802936553955,9.869790077209473,11.391735076904295
mps-uncap,0.5,13.25445890426633,11.323857307434084,12.120604515075687
mps-uncap,0.6,14.208662509918213,11.363863945007324,12.200756072998049
mps-uncap,0.7,14.395008087158203,11.552729606628416,12.399039268493647
mps-uncap,0.1,10.957336425781248,11.709985733032232,13.175158500671387
mps-uncap,0.2,11.382870674133295,10.993790626525879,11.078402996063227
mps-uncap,0.3,11.797487735748291,11.54991149902344,11.48111343383789
mps-uncap,0.4,12.913017272949213,11.06045722961426,11.909875869750975
