mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,19.2716121673584,14.330863952636719,16.111135482788086
mps-uncap,0.9,18.256425857543945,13.039827346801758,14.687776565551758
mps-uncap,1.0,22.62425422668457,16.321897506713867,20.691871643066406
mps-uncap,0.5,21.07715606689453,16.455888748168945,19.862651824951172
mps-uncap,0.6,18.62025260925293,14.445066452026367,17.24982261657715
mps-uncap,0.7,22.899866104125977,13.756752014160156,22.69458770751953
mps-uncap,0.1,14.928340911865234,14.310121536254883,14.722824096679688
mps-uncap,0.2,13.032197952270508,11.890649795532227,11.999130249023438
mps-uncap,0.3,13.905525207519531,22.524356842041016,23.415565490722656
mps-uncap,0.4,17.472267150878906,13.692617416381836,14.745473861694336
