mode,load,0_alexnet-2,1_efficientnet_b5-8,2_resnet152-8
mps-uncap,0.8,2.7246475219726562,17.97628402709961,21.17323875427246
mps-uncap,0.9,2.3458003997802734,18.75782012939453,21.399497985839844
mps-uncap,1.0,2.4504661560058594,18.998384475708008,23.485422134399414
mps-uncap,0.5,2.285480499267578,22.026538848876953,18.96047592163086
mps-uncap,0.6,10.141849517822266,20.900487899780273,19.65808868408203
mps-uncap,0.7,2.3856163024902344,17.935991287231445,19.044876098632812
mps-uncap,0.1,2.3441314697265625,25.413036346435547,21.42333984375
mps-uncap,0.2,2.1848678588867188,24.280071258544922,20.24674415588379
mps-uncap,0.3,2.3660659790039062,24.585247039794922,20.979642868041992
mps-uncap,0.4,2.307891845703125,25.00176429748535,20.621538162231445
