mode,load,0_alexnet-2,1_efficientnet_b5-8,2_resnet152-8
mps-uncap,0.8,0.2574920654296875,5.156397819519043,7.267355918884277
mps-uncap,0.9,0.8673667907714844,13.831615447998047,17.250776290893555
mps-uncap,1.0,3.750443458557129,38.170456886291504,172.04952239990234
mps-uncap,0.5,0.0400543212890625,0.04601478576660156,0.04935264587402344
mps-uncap,0.6,0.04029273986816406,0.05125999450683594,0.04935264587402344
mps-uncap,0.7,0.10013580322265625,0.06031990051269531,0.05817413330078125
mps-uncap,0.1,0.043392181396484375,0.06008148193359375,0.05936622619628906
mps-uncap,0.2,0.040531158447265625,0.059604644775390625,0.059604644775390625
mps-uncap,0.3,0.04076957702636719,0.05221366882324219,0.05650520324707031
mps-uncap,0.4,0.041484832763671875,0.051021575927734375,0.05459785461425781
