mode,load,0_alexnet-2,1_efficientnet_b5-8,2_resnet152-8
mps-uncap,0.8,1221.1460954206198,348.6892843142085,332.6130949101592
mps-uncap,0.9,1411.875548864793,396.1706837889612,371.4440028698142
mps-uncap,1.0,1574.919535577754,430.2619515405734,412.0034582642312
mps-uncap,0.5,777.5417871731332,219.1156224172914,204.7237089408156
mps-uncap,0.6,937.2458352010103,261.3958394130859,242.5424306830459
mps-uncap,0.7,1086.422584251243,301.78415083911386,280.02462053689237
mps-uncap,0.1,158.8131311484907,42.56506677219609,44.11395522701325
mps-uncap,0.2,313.86906126057283,84.68623999928747,87.8771956709806
mps-uncap,0.3,474.64570153939513,128.17557302942478,126.76456648138324
mps-uncap,0.4,633.1831308727454,171.5678295726945,163.4286461281264
