mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2
mig,0.1,83.60002989541563,85.32997568351428
mig,0.2,169.94204049599134,169.50534933040936
mig,0.3,249.50744676335282,248.53735954411985
mig,0.4,336.07940355881027,336.37192193337285
mig,0.5,412.3905487392855,416.73491962919445
mig,0.6,510.03160555074504,500.338423026277
mig,0.7,600.7051263760146,593.2765953055678
mig,0.8,683.0438095056195,670.0567480526672
mig,0.9,759.7313478786614,758.8891694856131
mig,1.0,818.3132454899296,827.7918352348535
