mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2
mig,0.1,8.143758773803738,8.610129356384272
mig,0.2,14.23746109008789,13.229897022247314
mig,0.3,13.924252986907959,14.494752883911136
mig,0.4,11.958742141723636,11.623091697692871
mig,0.5,10.436820983886749,12.0396566390991
mig,0.6,13.11522006988525,11.670272350311272
mig,0.7,14.7897744178772,17.155904769897464
mig,0.8,32.58713483810425,26.54398918151852
mig,0.9,75.17142295837402,79.84841346740723
mig,1.0,2667.614336013794,1413.110008239746
