mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2
mig,0.1,6.307554244995118,6.391048431396484
mig,0.2,6.644964218139647,6.632065773010254
mig,0.3,6.440746784210205,6.41737461090088
mig,0.4,5.367803573608405,5.207340717315672
mig,0.5,4.192857742309573,4.143459796905518
mig,0.6,3.6853122711181623,3.784022331237792
mig,0.7,2.9425501823425293,2.679052352905274
mig,0.8,2.555413246154785,2.6443195343017574
mig,0.9,2.6102066040039062,2.6153135299682613
mig,1.0,2.5911331176757812,2.542953491210937
