mode,load,0_mobilenet_v3_small-2,1_mobilenet_v3_small-2
mig,0.1,5.607128143310547,5.626320838928223
mig,0.2,5.396604537963867,5.454063415527344
mig,0.3,3.8499832153320312,3.8285255432128906
mig,0.4,2.534627914428711,2.529621124267578
mig,0.5,2.4106502532958984,2.373218536376953
mig,0.6,2.3812055587768555,2.415895462036133
mig,0.7,2.3450851440429688,2.424478530883789
mig,0.8,2.344846725463867,2.4237632751464844
mig,0.9,2.415180206298828,2.4347305297851562
mig,1.0,2.4368762969970703,2.400636672973633
