mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,9.075403213500977,10.090827941894531,2.187967300415039
mps-uncap,0.9,9.077310562133789,9.68313217163086,2.3047924041748047
mps-uncap,1.0,9.988784790039062,9.896516799926758,2.318143844604492
mps-uncap,0.5,9.045600891113281,10.010004043579102,2.229928970336914
mps-uncap,0.6,9.116411209106445,9.96851921081543,2.218484878540039
mps-uncap,0.7,9.038686752319336,9.789705276489258,2.270936965942383
mps-uncap,0.1,9.081125259399414,10.083675384521484,2.322673797607422
mps-uncap,0.2,9.076833724975586,10.125398635864258,2.3097991943359375
mps-uncap,0.3,9.051084518432617,10.083675384521484,2.202749252319336
mps-uncap,0.4,9.099006652832031,10.06007194519043,2.2313594818115234
