mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,95.67933082580595,94.14133071899421,21.46207809448241
mps-uncap,0.9,183.40676307678208,480.61964035034146,48.608589172363445
mps-uncap,1.0,597.3796224594115,2695.391571521759,89.31590557098387
mps-uncap,0.5,30.584011077880856,33.578147888183594,12.045040130615305
mps-uncap,0.6,39.54280853271481,44.90426063537581,11.82582378387451
mps-uncap,0.7,59.94752883911135,71.58899307250981,13.692872524261475
mps-uncap,0.1,14.801721572875977,25.41508674621581,7.222285270690919
mps-uncap,0.2,24.570879936218287,25.46525001525875,13.039946556091305
mps-uncap,0.3,24.412541389465318,31.680636405944895,14.743671417236323
mps-uncap,0.4,21.40556335449221,28.460030555725066,13.260734081268325
