mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,9.041309356689453,9.98377799987793,2.161741256713867
mps-uncap,0.9,9.032487869262695,9.608268737792969,2.2568702697753906
mps-uncap,1.0,9.527921676635742,9.750127792358398,2.250194549560547
mps-uncap,0.5,9.020805358886719,9.953737258911133,2.1944046020507812
mps-uncap,0.6,9.090662002563477,9.880542755126953,2.17437744140625
mps-uncap,0.7,9.021997451782227,9.657144546508789,2.2401809692382812
mps-uncap,0.1,9.033203125,10.06937026977539,2.3076534271240234
mps-uncap,0.2,9.049177169799805,10.002851486206055,2.267599105834961
mps-uncap,0.3,9.02700424194336,10.070323944091797,2.1872520446777344
mps-uncap,0.4,9.076356887817383,9.960412979125977,2.1979808807373047
