mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,108.07533264160163,109.65605258941655,24.376194477081295
mps-uncap,0.9,195.51334381103513,496.6008353233331,51.72279834747324
mps-uncap,1.0,610.4162287712097,2712.523546218872,92.08985805511475
mps-uncap,0.5,43.09628725051878,46.05326652526854,15.549752712249788
mps-uncap,0.6,50.59765338897702,57.54983901977535,14.774947166442866
mps-uncap,0.7,71.25515460968019,85.30128479003906,16.42063617706299
mps-uncap,0.1,31.976737976074247,47.43712425231931,12.599048614501962
mps-uncap,0.2,37.69790887832642,44.992542266845696,18.024804592132554
mps-uncap,0.3,36.405982971191406,45.803308486938484,19.220256805419915
mps-uncap,0.4,34.405908584594734,39.86543893814083,16.914296150207527
