mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,955.8532745857527,404.9729955234728,504.68842470201355
mps-uncap,0.9,1087.6181874188721,473.08579518384755,584.7880191952305
mps-uncap,1.0,1163.8811867733427,492.3800610590231,614.8269454221735
mps-uncap,0.5,602.5953317146977,253.518459991757,321.71239534561244
mps-uncap,0.6,727.3176929944078,304.98493536490525,388.2591007668317
mps-uncap,0.7,830.4514671237862,354.60968661537714,441.9320667965612
mps-uncap,0.1,118.04066454822372,48.4751142835449,65.14955952123826
mps-uncap,0.2,240.47409730954777,101.1375417614947,131.17520120906926
mps-uncap,0.3,357.61990677578956,156.5470380078894,193.38565016781098
mps-uncap,0.4,460.1734322384641,204.81758101162748,254.49771216613658
