mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,13.88096809387207,18.348217010498047,6.341218948364258
mps-uncap,0.9,15.168428421020508,19.358158111572266,6.213903427124023
mps-uncap,1.0,15.63262939453125,19.60921287536621,5.922555923461914
mps-uncap,0.5,18.31221580505371,19.591569900512695,6.030082702636719
mps-uncap,0.6,14.755725860595703,19.249677658081055,6.27446174621582
mps-uncap,0.7,13.283252716064453,19.631624221801758,6.269216537475586
mps-uncap,0.1,19.90532875061035,27.31633186340332,6.967306137084961
mps-uncap,0.2,20.914554595947266,27.782440185546875,7.122516632080078
mps-uncap,0.3,19.63186264038086,27.73594856262207,7.394552230834961
mps-uncap,0.4,20.10202407836914,24.11031723022461,6.8607330322265625
