mode,load,0_densenet121-16,1_densenet169-8,2_mobilenet_v2-2
mps-uncap,0.8,56.45632743835449,57.99918174743657,12.595343589782718
mps-uncap,0.9,90.33851623535158,254.2267084121705,29.693269729614258
mps-uncap,1.0,389.7155523300171,2589.6421670913696,52.45022773742676
mps-uncap,0.5,24.545764923095728,28.743267059326175,8.944630622863771
mps-uncap,0.6,29.37102317810059,33.38928222656251,8.018994331359865
mps-uncap,0.7,38.59963417053223,43.03898811340335,9.415459632873539
mps-uncap,0.1,18.914175033569336,26.975440979003906,8.586263656616211
mps-uncap,0.2,25.322580337524414,27.42314338684082,11.54420375823975
mps-uncap,0.3,22.708654403686527,28.851652145385742,11.579132080078125
mps-uncap,0.4,22.445964813232422,26.468253135681138,10.128140449523926
