mode,load,0_efficientnet_b5-8,1_resnet50-4,2_vgg13-8
mps-uncap,0.8,43.58196258544922,17.262697219848633,6.957054138183594
mps-uncap,0.9,44.548749923706055,18.012285232543945,7.474184036254883
mps-uncap,1.0,43.62678527832031,16.861677169799805,7.633686065673828
mps-uncap,0.5,42.14072227478027,15.894651412963867,6.510019302368164
mps-uncap,0.6,309.13424491882324,264.3165588378906,141.57867431640625
mps-uncap,0.7,41.76139831542969,17.960309982299805,6.922245025634766
mps-uncap,0.1,24.945735931396484,10.334253311157227,6.379842758178711
mps-uncap,0.2,28.26857566833496,15.128374099731445,6.685733795166016
mps-uncap,0.3,31.93044662475586,13.682365417480469,6.578922271728516
mps-uncap,0.4,35.12859344482422,15.384197235107422,6.540536880493164
