mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,1.0,33.347129821777344,35.67910194396973,8.755683898925781
mig,1.0,32.332658767700195,35.32266616821289,22.218942642211914
