mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,1.0,315.048680958377,237.20533649277536,723.9784153940416
mig,1.0,482.6938556154292,445.5048748486738,348.9343935526079
