mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,0.8,1583.8765759098976,476.55543165913826,558.1441677608316
mps-uncap,0.9,1565.611519803632,477.89815837356645,555.3842674175008
mps-uncap,1.0,1592.936149223429,478.5510199391842,546.293885196948
mps-uncap,0.5,1404.9581741872994,401.8425518594111,404.9679315178253
mps-uncap,0.6,1606.7989734762025,473.4299045402392,489.9898265206888
mps-uncap,0.7,1561.5014916121324,479.1167921074482,563.8278603384305
mps-uncap,0.1,274.45564998823386,76.90875511770706,82.22117735423927
mps-uncap,0.2,561.0683542161793,163.71375344031762,164.74585298287772
mps-uncap,0.3,828.2380430296167,241.78826919655646,247.44526798765926
mps-uncap,0.4,1106.9550494569678,326.71772575714533,324.30833439616873
