mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,0.8,5.062341690063477,4.159688949584961,3.5915374755859375
mps-uncap,0.9,5.112171173095703,4.148960113525391,3.5419464111328125
mps-uncap,1.0,5.015373229980469,4.207134246826172,3.559112548828125
mps-uncap,0.5,4.920005798339844,4.035472869873047,3.4868717193603516
mps-uncap,0.6,4.984617233276367,4.171848297119141,3.4852027893066406
mps-uncap,0.7,5.148172378540039,4.26030158996582,3.514528274536133
mps-uncap,0.1,4.874229431152344,4.069805145263672,3.5257339477539062
mps-uncap,0.2,4.947185516357422,4.1790008544921875,3.4942626953125
mps-uncap,0.3,4.928112030029297,4.0874481201171875,3.4906864166259766
mps-uncap,0.4,4.935979843139648,3.9997100830078125,3.4716129302978516
