mode,load,0_mobilenet_v3_large-8,1_mobilenet_v3_small-2,2_resnet34-2
mps-uncap,0.8,5.173349380493164,4.319190979003906,3.6870932579040527
mps-uncap,0.9,5.24080753326416,4.316742420196533,3.8722229003906246
mps-uncap,1.0,5.14531135559082,4.298210144042969,3.9233279228210454
mps-uncap,0.5,5.5313825607299805,4.541563987731933,4.099392890930176
mps-uncap,0.6,5.086431503295898,4.329230785369873,3.9076519012451176
mps-uncap,0.7,5.262300968170167,4.315862655639648,3.661503791809082
mps-uncap,0.1,11.474466323852539,9.5605731010437,8.195390701293936
mps-uncap,0.2,9.541263580322255,8.38381052017212,7.621111869812011
mps-uncap,0.3,6.986017227172852,6.1520767211914045,5.703859329223628
mps-uncap,0.4,5.944960117340088,4.962410926818848,4.504423141479492
