mode,load,0_inception_v3-16,1_resnet18-2,2_vgg16-2
mps-uncap,0.8,157.47785568237305,74.28908348083496,59.630632400512695
mps-uncap,0.9,373.6441135406494,2273.0188369750977,137.26377487182617
mps-uncap,1.0,820.5423355102539,9976.677894592285,4247.926473617554
mps-uncap,0.5,39.25514221191406,18.246889114379883,16.132831573486328
mps-uncap,0.6,47.029733657836914,24.04022216796875,24.4753360748291
mps-uncap,0.7,80.04355430603027,27.10247039794922,30.897140502929688
mps-uncap,0.1,27.401447296142578,11.075735092163086,4.773855209350586
mps-uncap,0.2,41.817426681518555,19.064903259277344,7.880449295043945
mps-uncap,0.3,37.178754806518555,18.126726150512695,11.017560958862305
mps-uncap,0.4,33.257484436035156,18.364667892456055,13.198375701904297
