mode,load,0_inception_v3-16,1_resnet18-2,2_vgg16-2
mps-uncap,0.8,12.726545333862305,2.517580986022949,3.071308135986328
mps-uncap,0.9,13.912200927734375,2.8252601623535156,3.271818161010742
mps-uncap,1.0,14.096498489379883,2.953052520751953,3.3288002014160156
mps-uncap,0.5,10.335683822631836,2.3643970489501953,2.589106559753418
mps-uncap,0.6,10.478019714355469,2.2978782653808594,2.6177167892456055
mps-uncap,0.7,11.232852935791016,2.352476119995117,2.7434825897216797
mps-uncap,0.1,19.99378204345703,4.517793655395508,2.913236618041992
mps-uncap,0.2,15.831589698791504,4.430532455444336,2.746105194091797
mps-uncap,0.3,13.36061954498291,3.8449764251708984,2.72369384765625
mps-uncap,0.4,10.951519012451172,3.1278133392333984,2.6624202728271484
