mode,load,0_inception_v3-16,1_resnet18-2,2_vgg16-2
mps-uncap,0.8,18.036365509033203,7.557392120361328,10.274171829223633
mps-uncap,0.9,26.208877563476562,17.53854751586914,13.623237609863281
mps-uncap,1.0,25.872230529785156,15.37942886352539,14.854669570922852
mps-uncap,0.5,17.493724822998047,14.34326171875,17.11869239807129
mps-uncap,0.6,17.091989517211914,16.98160171508789,16.75891876220703
mps-uncap,0.7,17.472505569458008,16.805410385131836,16.707420349121094
mps-uncap,0.1,24.93453025817871,15.684127807617188,17.309904098510742
mps-uncap,0.2,23.82183074951172,10.044097900390625,6.783962249755859
mps-uncap,0.3,22.444725036621094,11.20758056640625,15.932321548461914
mps-uncap,0.4,20.53976058959961,13.767242431640625,7.108926773071289
