mode,load,0_densenet169-16,1_efficientnet_b5-16,2_resnet152-4
mps-uncap,0.8,29.705190658569336,25.229597091674805,21.492385864257812
mps-uncap,0.9,28.814077377319336,25.78446865081787,23.74262809753418
mps-uncap,1.0,32.72669315338135,25.143718719482422,24.294209480285645
mps-uncap,0.5,27.20494270324707,21.981000900268555,20.056676864624027
mps-uncap,0.6,28.56922149658203,23.707985877990723,20.29423713684082
mps-uncap,0.7,29.10923957824707,24.316883087158203,20.70605754852295
mps-uncap,0.1,25.231623649597168,22.288799285888672,18.60828399658203
mps-uncap,0.2,24.828243255615238,23.188114166259766,19.841909408569336
mps-uncap,0.3,25.481414794921875,23.064851760864258,19.686269760131836
mps-uncap,0.4,25.62413215637207,22.24135398864746,19.343852996826172
