mode,load,0_densenet161-8,1_densenet201-16,2_densenet201-2
mps-uncap,0.8,0.011682510375976562,0.011682510375976562,0.012159347534179688
mps-uncap,0.9,0.01239776611328125,0.013113021850585938,0.012874603271484375
mps-uncap,1.0,0.025033950805664062,0.019550323486328125,0.0133514404296875
mps-uncap,0.5,0.011920928955078125,0.011205673217773438,0.011920928955078125
mps-uncap,0.6,0.012159347534179688,0.01239776611328125,0.012874603271484375
mps-uncap,0.7,0.010728836059570312,0.012874603271484375,0.011205673217773438
mps-uncap,0.1,0.019073486328125,0.012874603271484375,0.019073486328125
mps-uncap,0.2,0.014066696166992188,0.019550323486328125,0.01049041748046875
mps-uncap,0.3,0.011444091796875,0.012636184692382812,0.012636184692382812
mps-uncap,0.4,0.011920928955078125,0.012874603271484375,0.011920928955078125
