mode,load,0_densenet161-8,1_densenet201-16,2_densenet201-2
mps-uncap,0.8,21.25859260559082,26.152610778808594,23.962020874023438
mps-uncap,0.9,20.513057708740234,27.29034423828125,24.29509162902832
mps-uncap,1.0,21.73471450805664,27.74667739868164,22.7816104888916
mps-uncap,0.5,23.786544799804688,26.71194076538086,23.868799209594727
mps-uncap,0.6,21.11029624938965,25.956392288208008,23.954153060913086
mps-uncap,0.7,21.034955978393555,26.024341583251953,24.08289909362793
mps-uncap,0.1,36.4069938659668,33.493757247924805,33.08987617492676
mps-uncap,0.2,26.46160125732422,33.85663032531738,33.162832260131836
mps-uncap,0.3,26.93486213684082,33.11753273010254,33.61320495605469
mps-uncap,0.4,26.32761001586914,28.177738189697266,27.437210083007812
