mode,load,0_densenet161-8,1_densenet201-16,2_densenet201-2
mps-uncap,0.8,318.2607847485968,488.13713210139224,73.26722197835333
mps-uncap,0.9,369.63999917008306,551.2922697846368,80.57106266065688
mps-uncap,1.0,408.65942024123785,627.7218184637858,92.60152125390972
mps-uncap,0.5,205.4365109585945,306.53819877208616,45.742998119990034
mps-uncap,0.6,246.3929616664617,346.92389042256565,53.33556132918832
mps-uncap,0.7,291.6173254415789,422.4619432669582,62.964393341481646
mps-uncap,0.1,39.35034676048173,63.13216970487975,8.523076717745091
mps-uncap,0.2,82.71836297281332,122.13729905948477,18.160403245250137
mps-uncap,0.3,128.78262873085524,190.16909364501808,26.00512476125213
mps-uncap,0.4,168.95500300834874,231.14661279413266,36.98238034153195
