mode,load,0_resnet152-16,1_squeezenet1_1-8,2_vgg13-4
mps-uncap,0.6,25.44381618499756,4.499244689941406,5.546331405639648
mig,0.6,32.224178314208984,4.052472114562989,10.418510437011719
mps-uncap,0.7,26.99716091156006,4.848241806030273,5.7274580001831055
mig,0.7,32.17191696166992,3.9546012878417978,10.412216186523438
mps-uncap,0.8,28.68776321411133,5.025911331176758,5.840730667114258
mig,0.8,32.265472412109375,3.85575294494629,10.394954681396484
mps-uncap,0.9,30.18052577972412,5.268096923828125,6.039023399353027
mig,0.9,32.40537643432617,3.7316083908081055,10.33782958984375
mps-uncap,1.0,31.314373016357422,5.390048027038574,6.08973503112793
mig,1.0,32.149410247802734,3.6802291870117188,10.173630714416504
mps-uncap,1.1,33.12087059020996,5.640077590942383,6.13093376159668
mig,1.1,32.038211822509766,3.674030303955078,10.164737701416016
mps-uncap,1.2,34.28330421447754,5.949735641479492,6.272029876708986
mig,1.2,32.004451751708984,3.673553466796875,10.147953033447266
mps-uncap,1.3,34.768080711364746,6.0079336166381845,6.265974044799805
mig,1.3,32.5312614440918,3.7097930908203125,10.245800018310547
