mode,load,0_alexnet-32,1_efficientnet_b6-2,2_resnet18-2
mps-uncap,0.8,9581.032519762293,94.68723625388479,599.710928452308
mps-uncap,0.9,10869.861416388005,102.51222716472111,689.9792465207615
mps-uncap,1.0,12131.623771626686,115.48744956840078,765.2552573901272
mps-uncap,0.5,6120.943375468896,56.279327745689415,380.7131742012936
mps-uncap,0.6,7295.054108295024,68.16275788154331,456.13699107910895
mps-uncap,0.7,8473.65854563716,80.0094584016297,517.1407692262673
mps-uncap,0.1,1195.1370710983633,11.728650295815358,76.86801166353385
mps-uncap,0.2,2437.3763883988872,20.42175482109451,147.27323985987252
mps-uncap,0.3,3497.056403527352,35.2301538355261,228.77165673672295
mps-uncap,0.4,4865.354538215362,45.108342376622225,305.02387575040694
