mode,load,0_densenet201-2,1_inception_v3-8,2_resnet101-2
mps-uncap,0.8,121.3101045858074,915.1479931609297,258.17156677401783
mps-uncap,0.9,139.12759811313788,1059.8240635579145,293.75835256729306
mps-uncap,1.0,150.81950775689512,1169.424915467405,323.5478266443017
mps-uncap,0.5,80.8364188790645,559.583752495176,160.61056541269815
mps-uncap,0.6,93.83081813253159,696.6525626687757,191.60508190849313
mps-uncap,0.7,108.1256198534503,803.7489020672265,218.88626136767942
mps-uncap,0.1,14.80545164036143,122.77137877523008,31.914941784955392
mps-uncap,0.2,30.024276211832127,234.40927750558336,64.68440523538203
mps-uncap,0.3,46.34657187474081,348.1647295982419,95.8043457428975
mps-uncap,0.4,62.409445430396644,458.24270242859814,124.74755267685262
