mode,load,0_densenet201-2,1_inception_v3-8,2_resnet101-2
mps-uncap,0.8,186.3853931427002,83.09102058410645,53.139686584472656
mps-uncap,0.9,207.72480964660645,153.87439727783203,121.62542343139648
mps-uncap,1.0,641.8757438659668,664.9854183197021,215.67416191101074
mps-uncap,0.5,60.326576232910156,37.02521324157715,34.67154502868652
mps-uncap,0.6,63.30728530883789,37.35542297363281,40.10963439941406
mps-uncap,0.7,105.81469535827637,43.90692710876465,50.89688301086426
mps-uncap,0.1,29.840707778930664,22.71556854248047,28.948545455932617
mps-uncap,0.2,53.62296104431152,32.04607963562012,36.569833755493164
mps-uncap,0.3,58.177947998046875,42.881011962890625,43.570518493652344
mps-uncap,0.4,55.410146713256836,45.41182518005371,49.024343490600586
