mode,load,0_densenet201-2,1_inception_v3-8,2_resnet101-2
mps-uncap,0.8,67.30642318725589,27.644538879394535,22.784852981567383
mps-uncap,0.9,112.22598552703857,51.914644241333015,36.22150421142578
mps-uncap,1.0,308.33072662353516,441.95559024810785,102.08797454833984
mps-uncap,0.5,32.17005729675293,16.022706031799324,15.892386436462402
mps-uncap,0.6,35.80660820007325,16.457366943359375,16.20006561279297
mps-uncap,0.7,48.267602920532234,19.36149597167969,18.431138992309574
mps-uncap,0.1,30.718445777893066,17.758798599243164,19.269323348999027
mps-uncap,0.2,31.085729598999023,20.83539962768555,21.776580810546875
mps-uncap,0.3,26.120996475219734,18.763208389282227,18.13831329345703
mps-uncap,0.4,27.54354476928711,17.80557632446289,16.27335548400879
