mode,load,0_densenet169-32,1_resnet152-16,2_squeezenet1_1-2
mps-uncap,0.8,20.476341247558594,13.981103897094727,0.9636878967285156
mps-uncap,0.9,20.717382431030273,13.953924179077148,0.9424686431884766
mps-uncap,1.0,21.733760833740234,14.581680297851562,0.965118408203125
mps-uncap,0.5,20.363569259643555,13.98777961730957,0.9715557098388672
mps-uncap,0.6,20.57194709777832,13.94510269165039,0.972747802734375
mps-uncap,0.7,20.42698860168457,13.96322250366211,0.9496212005615234
mps-uncap,0.1,20.393848419189453,13.985157012939453,0.9691715240478516
mps-uncap,0.2,20.270109176635742,14.013290405273438,0.9710788726806641
mps-uncap,0.3,20.303726196289062,13.9007568359375,0.988006591796875
mps-uncap,0.4,20.25151252746582,13.94033432006836,0.9660720825195312
