mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,12.389659881591797,39.15834426879883,34.55686569213867
mig,1.0,12.386560440063477,33.36691856384277,46.21076583862305
