mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,4.130840301513672,29.578447341918945,26.916027069091797
mig,1.0,3.5364627838134766,19.590139389038086,36.139583587646484
