mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,0.006198883056640625,0.0035762786865234375,0.011205673217773438
mig,1.0,0.0064373016357421875,0.007152557373046875,0.003814697265625
