mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,2.405405044555664,22.365331649780273,22.35245704650879
mig,1.0,3.386259078979492,18.91613006591797,35.22014617919922
