mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,12.389659881591797,39.15858268737793,34.55710411071777
mig,1.0,12.386798858642578,33.367156982421875,46.21076583862305
