mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
mig,1.0,0.000476837158203125,0.000476837158203125,0.000476837158203125
