mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,4.717922210693361,30.5539608001709,27.596149444580078
mig,1.0,3.679513931274414,20.12049674987793,36.760416030883796
