mode,load,0_vgg13-2,1_efficientnet_b6-4,2_efficientnet_b6-8
mps-uncap,1.0,594.0245274723375,139.90855316683945,306.60850189418255
mig,1.0,572.9654601133365,205.57355010098647,222.67058479281042
