mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,15.789270401000977,16.76774024963379,6.434202194213867
mig,0.6,31.553268432617188,34.74831581115723,22.114992141723633
mps-uncap,0.7,15.878677368164062,16.940832138061523,6.4697265625
mig,0.7,31.453371047973633,34.60192680358887,22.05657958984375
mps-uncap,0.8,15.798330307006836,16.96181297302246,6.47282600402832
mig,0.8,31.512975692749023,34.65771675109863,22.057294845581055
mps-uncap,0.9,15.813827514648438,17.017126083374023,6.395816802978516
mig,0.9,31.5704345703125,34.75213050842285,22.126436233520508
mps-uncap,1.0,15.917539596557617,16.947269439697266,6.531953811645508
mig,1.0,31.618356704711914,34.78693962097168,22.165298461914062
mps-uncap,1.1,20.545005798339844,23.484468460083008,8.501768112182617
mig,1.1,31.73661231994629,34.905195236206055,22.16958999633789
mps-uncap,1.2,18.351316452026367,22.607803344726562,6.548643112182617
mig,1.2,31.651020050048828,34.9273681640625,22.177696228027344
mps-uncap,1.3,16.325712203979492,16.88528060913086,7.047891616821289
mig,1.3,32.29117393493652,35.09807586669922,22.251129150390625
