mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,0.03719329833984375,0.03409385681152344,0.027179718017578125
mig,0.6,10.816097259521484,9.868860244750977,8.204460144042969
mps-uncap,0.7,2.152681350708008,1.0008811950683594,0.026226043701171875
mig,0.7,21.927237510681152,27.178525924682617,14.354467391967773
mps-uncap,0.8,10.095834732055664,15.564441680908203,0.019311904907226562
mig,0.8,46.82588577270508,57.225704193115234,30.895233154296875
mps-uncap,0.9,58.927059173583984,58.14826488494873,0.018596649169921875
mig,0.9,105.44943809509277,208.80091190338135,60.08410453796387
mps-uncap,1.0,137.18533515930176,1208.0750465393066,0.019550323486328125
mig,1.0,832.3277235031128,1252.4304389953613,341.07518196105957
mps-uncap,1.1,2098.9328622817993,8256.858587265015,1.4798641204833984
mig,1.1,4373.770475387573,3540.804386138916,3690.572500228882
mps-uncap,1.2,12025.237798690796,13200.81639289856,3.700137138366699
mig,1.2,7198.671817779541,6722.163200378418,6084.31339263916
mps-uncap,1.3,11602.98228263855,17333.867073059082,5.506277084350586
mig,1.3,10402.16588973999,9304.20970916748,10644.240736961365
