mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,280.533473298942,254.5422489489115,215.5892585408263
mig,0.6,288.49012649151007,261.4966324816447,213.03249365667222
mps-uncap,0.7,337.1902720341958,305.2145070850299,238.62959440916921
mig,0.7,348.6316129351276,307.5582122387986,236.48769524210846
mps-uncap,0.8,356.781915666592,362.7764938562201,277.3442662810171
mig,0.8,387.71023394435724,363.1322727229297,275.82265986323654
mps-uncap,0.9,439.85473343938867,402.3957428011877,311.8700763399148
mig,0.9,428.24240023599856,406.381482701262,306.48257835979143
mps-uncap,1.0,480.31710982005643,429.97509795719736,340.0612733646809
mig,1.0,476.81375968693754,438.16614424919317,341.5402181274603
mps-uncap,1.1,485.5735806363273,391.85614172825154,380.3681695240541
mig,1.1,478.2419677998009,438.2501351147453,347.0114861592179
mps-uncap,1.2,445.6391434305409,392.99436730499735,426.0325123949905
mig,1.2,479.4057660602827,438.7396685136059,346.933396168694
mps-uncap,1.3,448.7587551007389,360.27599181239896,450.80414606237656
mig,1.3,477.6632066130538,438.6129571403514,346.3839241114302
