mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,0.014543533325195312,0.014543533325195312,0.0133514404296875
mig,0.6,0.014066696166992188,0.012636184692382812,0.014066696166992188
mps-uncap,0.7,0.014543533325195312,0.014066696166992188,0.012874603271484375
mig,0.7,0.014781951904296875,0.013828277587890625,0.0133514404296875
mps-uncap,0.8,0.014543533325195312,0.014543533325195312,0.011205673217773438
mig,0.8,0.014781951904296875,0.014781951904296875,0.013113021850585938
mps-uncap,0.9,0.015020370483398438,0.014066696166992188,0.013113021850585938
mig,0.9,0.014781951904296875,0.014781951904296875,0.013828277587890625
mps-uncap,1.0,0.014543533325195312,0.01430511474609375,0.013589859008789062
mig,1.0,0.01811981201171875,0.018358230590820312,0.014543533325195312
mps-uncap,1.1,0.044345855712890625,0.0400543212890625,0.013113021850585938
mig,1.1,0.017881393432617188,0.01430511474609375,0.016927719116210938
mps-uncap,1.2,0.019073486328125,0.024318695068359375,0.011205673217773438
mig,1.2,0.019788742065429688,0.015974044799804688,0.01621246337890625
mps-uncap,1.3,0.019788742065429688,0.017404556274414062,0.011682510375976562
mig,1.3,0.019073486328125,0.020265579223632812,0.0171661376953125
