mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,50.035715103149414,64.69392776489258,20.203590393066406
mig,0.6,40.35305976867676,39.44563865661621,29.712200164794922
mps-uncap,0.7,50.098419189453125,67.80409812927246,19.733667373657227
mig,0.7,36.16762161254883,49.26300048828125,28.53083610534668
mps-uncap,0.8,60.07266044616699,66.67900085449219,19.66714859008789
mig,0.8,41.98265075683594,49.806833267211914,30.316829681396484
mps-uncap,0.9,57.24644660949707,61.875343322753906,21.521329879760742
mig,0.9,44.59691047668457,48.87700080871582,25.748729705810547
mps-uncap,1.0,54.9473762512207,71.69461250305176,19.37079429626465
mig,1.0,46.47231101989746,48.41923713684082,35.25876998901367
mps-uncap,1.1,55.46450614929199,74.2189884185791,24.828672409057617
mig,1.1,45.62258720397949,43.108463287353516,29.492616653442383
mps-uncap,1.2,64.0559196472168,65.78922271728516,21.193742752075195
mig,1.2,44.24428939819336,49.93915557861328,33.840179443359375
mps-uncap,1.3,57.86442756652832,73.40455055236816,18.449068069458008
mig,1.3,42.21796989440918,47.0883846282959,31.13698959350586
