mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,42.54988670349117,52.258939743041985,14.35636043548583
mig,0.6,35.071372985839844,38.1605339050293,24.13856029510498
mps-uncap,0.7,45.774519443511956,56.20560646057131,14.87497329711914
mig,0.7,34.822654724121094,38.16713333129883,24.118990898132324
mps-uncap,0.8,48.08922052383423,59.68795776367182,14.652037620544432
mig,0.8,35.38975715637207,38.37434768676758,24.432954788208008
mps-uncap,0.9,54.62767601013182,58.196516036987305,15.069684982299805
mig,0.9,35.386824607849114,38.52067232131958,24.408512115478516
mps-uncap,1.0,51.71738147735594,66.12812280654904,15.343151092529293
mig,1.0,35.55371284484864,38.77110481262208,24.52266454696655
mps-uncap,1.1,52.27008104324341,67.8391647338867,15.331592559814453
mig,1.1,35.51738023757935,38.721561431884766,24.629783630371094
mps-uncap,1.2,56.25808000564575,61.59849166870117,15.134782791137686
mig,1.2,35.63199996948242,38.63752365112305,24.581420421600342
mps-uncap,1.3,53.380117416381836,69.45765256881714,15.192642211914062
mig,1.3,35.692853927612305,38.79902362823486,24.605329036712646
