mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,68.05618286132803,80.84808349609374,15.78093528747558
mig,0.6,140.76366424560524,140.4781675338749,113.51976394653342
mps-uncap,0.7,112.16408014297484,106.85057640075695,20.49104690551758
mig,0.7,227.71310806274406,209.63120460510254,119.05230522155766
mps-uncap,0.8,186.58019304275516,171.0384082794189,25.301718711852978
mig,0.8,345.2945899963379,410.37702560424793,457.18624114990234
mps-uncap,0.9,701.1984539031981,673.2962441444402,31.334600448608356
mig,0.9,522.1208691596978,689.8233890533447,375.5474829673765
mps-uncap,1.0,693.7699604034424,3173.7281155586243,31.664090156555165
mig,1.0,1560.4249763488774,2286.060752868653,777.1129989624019
mps-uncap,1.1,6999.735898971558,15878.128480911255,38.34681510925292
mig,1.1,7062.534897327423,8742.964959144594,7308.2593631744385
mps-uncap,1.2,22142.404904365543,25861.498641967773,43.81174564361565
mig,1.2,14947.735900878908,14688.017320632931,13514.360783100128
mps-uncap,1.3,25361.12267971039,35054.853079319,54.98905181884765
mig,1.3,21855.71095943451,19741.32604122162,20558.110976219177
