mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,120.7427978515625,113.15679550170898,29.67691421508789
mig,0.6,230.6385040283203,199.03016090393066,157.37628936767578
mps-uncap,0.7,159.11149978637695,200.84500312805176,47.96171188354492
mig,0.7,353.03664207458496,258.6033344268799,174.50428009033203
mps-uncap,0.8,290.5561923980713,223.3564853668213,46.883344650268555
mig,0.8,440.1664733886719,516.4194107055664,507.3537826538086
mps-uncap,0.9,857.8009605407715,806.9593906402588,57.34896659851074
mig,0.9,666.6960716247559,833.5952758789062,448.6379623413086
mps-uncap,1.0,791.8224334716797,3325.0463008880615,90.80028533935547
mig,1.0,1658.374309539795,2420.2027320861816,846.6241359710693
mps-uncap,1.1,7074.35941696167,15981.463432312012,59.38076972961426
mig,1.1,7154.44540977478,8910.058975219727,7415.785074234009
mps-uncap,1.2,22265.244007110596,26054.187059402466,71.26069068908691
mig,1.2,15226.940870285034,15040.440320968628,13630.542993545532
mps-uncap,1.3,25459.60521697998,35262.14003562927,86.42244338989258
mig,1.3,22146.300315856934,19933.10046195984,20825.101137161255
