mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,98.14556121826169,100.54149627685538,25.90408325195306
mig,0.6,174.77974891662578,176.83956623077432,136.39493465423607
mps-uncap,0.7,140.55656194686887,142.02857017517113,30.9611988067627
mig,0.7,260.6790304183959,245.4385566711426,141.38568401336673
mps-uncap,0.8,219.8717212677002,201.36476039886458,34.77306365966795
mig,0.8,378.1305408477784,446.4535808563231,480.47298431396496
mps-uncap,0.9,735.4824638366698,698.6291003227238,42.10953712463371
mig,0.9,554.780721664428,726.3171243667601,398.38354110717745
mps-uncap,1.0,720.7952022552489,3212.8344988822923,43.757615089416284
mig,1.0,1594.4447827339175,2323.3515453338628,800.1161670684809
mps-uncap,1.1,7027.74468421936,15910.646104812622,49.656467437744126
mig,1.1,7096.686949729919,8779.278397560121,7332.770347595215
mps-uncap,1.2,22175.216813087463,25902.963733673092,54.65099811553952
mig,1.2,14981.487655639648,14723.575601577755,13537.201731204987
mps-uncap,1.3,25393.533611297607,35089.024085998535,66.43970489501953
mig,1.3,21888.46457958221,19777.706294059753,20581.046698093414
