mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,55.77015876770021,57.14974403381348,15.715456008911131
mig,0.6,99.81942176818848,104.66594696044923,71.20747566223146
mps-uncap,0.7,75.6070613861084,74.07021522521973,17.98572540283204
mig,0.7,136.12186908721924,154.21366691589355,86.26327514648447
mps-uncap,0.8,91.29390716552734,117.82250404357912,19.61207389831543
mig,0.8,219.36230659484866,242.7425861358643,145.9049224853516
mps-uncap,0.9,281.7253589630127,337.58127689361567,23.07600975036621
mig,0.9,346.80235385894775,557.2109460830688,217.40050315856934
mps-uncap,1.0,505.48219680786156,2696.987438201905,26.166152954101566
mig,1.0,1293.593883514405,2024.9558925628667,609.2162847518922
mps-uncap,1.1,6032.226610183717,15256.564950942993,28.673267364501967
mig,1.1,6796.250152587891,7841.152667999268,7018.0089473724365
mps-uncap,1.2,19908.186602592472,23541.1114692688,32.00752735137941
mig,1.2,13504.09951210022,12543.83454322815,12716.118860244751
mps-uncap,1.3,23069.330835342407,31250.211620330814,36.350584030151374
mig,1.3,20001.50980949402,18261.418056488037,19288.675332069397
