mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,22.50075340270996,21.692991256713867,8.591175079345703
mig,0.6,32.93752670288086,36.17501258850098,22.784709930419922
mps-uncap,0.7,23.615121841430664,25.026559829711914,9.216547012329102
mig,0.7,32.956600189208984,36.142826080322266,22.795915603637695
mps-uncap,0.8,24.82318878173828,26.563167572021484,9.618759155273438
mig,0.8,32.93728828430176,36.15927696228027,22.795438766479492
mps-uncap,0.9,28.722763061523438,31.868457794189453,10.209083557128906
mig,0.9,32.9737663269043,36.08810901641846,22.774934768676758
mps-uncap,1.0,29.803991317749023,34.712791442871094,10.651588439941406
mig,1.0,33.09786319732666,36.12995147705078,22.844314575195312
mps-uncap,1.1,30.885815620422363,39.177656173706055,10.817289352416992
mig,1.1,33.09834003448486,36.093711853027344,22.861719131469727
mps-uncap,1.2,34.80195999145508,39.40916061401367,10.702013969421387
mig,1.2,33.08677673339844,36.06247901916504,22.862911224365234
mps-uncap,1.3,34.712791442871094,42.37997531890869,10.819196701049805
mig,1.3,33.206939697265625,36.21721267700195,22.876620292663574
