mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,150.2540111541748,139.81366157531738,40.32087326049805
mig,0.6,263.7927532196045,234.29274559020996,180.33576011657715
mps-uncap,0.7,206.72917366027832,218.18995475769043,58.93349647521973
mig,0.7,386.0816955566406,294.79026794433594,197.87120819091797
mps-uncap,0.8,317.5048828125,266.31689071655273,57.73115158081055
mig,0.8,471.94695472717285,552.9310703277588,529.6828746795654
mps-uncap,0.9,881.2508583068848,846.2178707122803,67.89422035217285
mig,0.9,700.8004188537598,871.0603713989258,471.19688987731934
mps-uncap,1.0,816.3714408874512,3355.0612926483154,103.41763496398926
mig,1.0,1691.6999816894531,2456.010341644287,869.877815246582
mps-uncap,1.1,7103.237152099609,16009.43636894226,71.8376636505127
mig,1.1,7187.772512435913,8946.564435958862,7438.590049743652
mps-uncap,1.2,22283.595323562622,26082.32593536377,84.5947265625
mig,1.2,15259.735822677612,15076.483964920044,13653.390884399414
mps-uncap,1.3,25490.692853927612,35305.36890029907,97.34988212585449
mig,1.3,22180.65905570984,19968.94407272339,20848.140001296997
