mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,27.16851234436035,27.0235538482666,9.196281433105469
mig,0.6,43.77174377441406,46.39482498168945,30.97224235534668
mps-uncap,0.7,32.06193447113037,34.00444984436035,10.174274444580078
mig,0.7,54.72671985626221,63.60173225402832,37.08302974700928
mps-uncap,0.8,37.98055648803711,44.76022720336914,10.764122009277344
mig,0.8,79.75172996520996,93.3980941772461,53.6656379699707
mps-uncap,0.9,89.21599388122559,91.53223037719727,11.923074722290039
mig,0.9,138.3885145187378,244.60136890411377,83.22572708129883
mps-uncap,1.0,168.55740547180176,1245.8730936050415,12.814521789550781
mig,1.0,866.256833076477,1288.0139350891113,364.3108606338501
mps-uncap,1.1,2127.6392936706543,8298.458099365234,13.820886611938477
mig,1.1,4407.373905181885,3576.5774250030518,3713.184595108032
mps-uncap,1.2,12059.218287467957,13245.251178741455,14.767885208129883
mig,1.2,7231.911897659302,6758.089780807495,6107.085227966309
mps-uncap,1.3,11650.527477264404,17371.374249458313,16.4186954498291
mig,1.3,10435.246467590332,9340.8362865448,10667.05071926117
