mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,15.804767608642578,16.98923110961914,6.452083587646484
mig,0.6,31.605958938598633,34.76381301879883,22.133588790893555
mps-uncap,0.7,15.900611877441406,17.0443058013916,6.49714469909668
mig,0.7,31.630754470825195,34.77025032043457,22.147417068481445
mps-uncap,0.8,15.8233642578125,17.058849334716797,6.490945816040039
mig,0.8,31.53252601623535,34.676551818847656,22.156715393066406
mps-uncap,0.9,15.965461730957031,17.30942726135254,6.433010101318359
mig,0.9,31.636714935302734,34.79123115539551,22.170066833496094
mps-uncap,1.0,21.032094955444336,17.07768440246582,6.561040878295898
mig,1.0,31.991243362426758,34.8055362701416,22.183656692504883
mps-uncap,1.1,37.000417709350586,39.10660743713379,8.519411087036133
mig,1.1,31.758546829223633,34.92426872253418,22.193431854248047
mps-uncap,1.2,35.964250564575195,37.56356239318848,6.576299667358398
mig,1.2,31.670808792114258,34.948110580444336,22.194862365722656
mps-uncap,1.3,18.146038055419922,17.611980438232422,7.065296173095703
mig,1.3,32.31024742126465,35.78925132751465,22.26877212524414
