mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,30.19199371337891,29.76198196411133,6.219863891601563
mig,0.6,66.8175220489502,68.28694343566897,48.32372665405276
mps-uncap,0.7,48.58982563018799,45.15361785888672,7.978725433349612
mig,0.7,103.02269458770752,118.45326423645018,63.68582248687744
mps-uncap,0.8,63.298726081848194,88.10148239135744,9.19342041015625
mig,0.8,186.27524375915527,205.7140827178955,122.9799747467041
mps-uncap,0.9,250.66165924072286,301.85382366180403,12.341499328613281
mig,0.9,313.5967254638672,520.9539890289307,194.72351074218753
mps-uncap,1.0,475.39119720458996,2663.200330734256,14.97602462768555
mig,1.0,1261.2516403198247,1988.382530212403,586.0422611236572
mps-uncap,1.1,5995.765328407288,15223.154830932617,17.64016151428223
mig,1.1,6763.223624229431,7805.102586746216,6995.348310470581
mps-uncap,1.2,19877.28810310364,23488.497495651245,21.182870864868164
mig,1.2,13470.194911956787,12508.082962036133,12692.83800125122
mps-uncap,1.3,23045.56655883789,31201.76959037781,25.419616699218754
mig,1.3,19968.513917922974,18223.367929458618,19265.81072807312
