mode,load,0_efficientnet_b5-16,1_densenet169-16,2_vgg19-8
mps-uncap,0.6,31.61888122558594,35.06579399108887,11.563253402709961
mig,0.6,33.84757041931152,37.14776039123535,23.295497894287113
mps-uncap,0.7,34.42966938018799,39.82949256896973,12.226057052612306
mig,0.7,33.90157222747803,37.14547157287598,23.357677459716797
mps-uncap,0.8,36.82866096496582,42.61364936828614,12.310504913330078
mig,0.8,34.049320220947266,37.32180595397949,23.48484992980957
mps-uncap,0.9,42.43764877319336,45.26052474975586,12.737417221069336
mig,0.9,34.18779373168945,37.32788562774658,23.508906364440918
mps-uncap,1.0,42.50631332397461,51.96588039398195,13.113164901733398
mig,1.0,34.39779281616211,37.54658699035645,23.622751235961914
mps-uncap,1.1,45.43118476867676,56.94127082824707,13.074541091918947
mig,1.1,34.3980073928833,37.552833557128906,23.598957061767578
mps-uncap,1.2,51.154422760009766,54.89516258239746,12.959837913513185
mig,1.2,34.363412857055664,37.45465278625488,23.613548278808594
mps-uncap,1.3,49.07784461975098,63.62276077270508,13.051652908325195
mig,1.3,34.45696830749512,37.55974769592285,23.61745834350586
