mode,load,0_densenet121-8,1_densenet169-16,2_resnet50-16
mps-uncap,0.8,295.91940401323416,411.9323925562796,1236.2890235225013
mps-uncap,0.9,347.33800102972833,449.88785739083005,1365.9805696937005
mps-uncap,1.0,342.7872861278728,450.6734000471264,1386.0407573791344
mps-uncap,0.5,183.6944731041381,270.09439231511004,755.0334764544076
mps-uncap,0.6,219.92200841805848,299.49053809558666,909.7166042839997
mps-uncap,0.7,268.24619337902556,357.53752582614356,1063.4043104448815
mps-uncap,0.1,42.263744842965714,47.86393346933319,138.00855394061833
mps-uncap,0.2,73.69810063019477,97.70206805099932,300.38874705160123
mps-uncap,0.3,119.70803693966383,157.6545273257695,461.9431618123283
mps-uncap,0.4,155.453363492034,211.34087362634767,612.5619554962572
