mode,load,0_densenet121-8,1_densenet169-16,2_resnet50-16
mps-uncap,0.8,24.62925910949707,36.151742935180664,12.857770919799805
mps-uncap,0.9,21.985745429992676,35.794854164123535,13.62600326538086
mps-uncap,1.0,25.079727172851562,36.585259437561035,13.953590393066408
mps-uncap,0.5,20.904541015625,28.21376323699951,12.151956558227539
mps-uncap,0.6,22.06497192382813,29.61888313293457,12.728571891784668
mps-uncap,0.7,23.743438720703125,35.25745868682861,12.481689453125
mps-uncap,0.1,27.44693756103516,31.059646606445312,11.692214012145996
mps-uncap,0.2,22.48153686523438,29.49204444885254,11.14664077758789
mps-uncap,0.3,20.988988876342773,26.073884963989265,11.443328857421875
mps-uncap,0.4,18.89204978942871,29.613852500915527,12.03312873840332
