mode,load,0_resnet50-32,1_resnet50-32,2_resnet50-32,3_resnet50-32
mig,0.1,92.51713752746582,89.27369117736816,93.92237663269043,161.44585609436035
mig,0.2,157.55558013916016,137.80641555786133,131.70099258422852,324.07498359680176
mig,0.3,164.98470306396484,155.13849258422852,145.85137367248535,378.41796875
mig,0.4,232.954740524292,208.74428749084473,203.84621620178223,366.8344020843506
mig,0.5,264.93024826049805,247.00665473937988,253.65090370178223,494.12035942077637
mig,0.6,464.53142166137695,343.37925910949707,346.7831611633301,685.316801071167
mig,0.7,466.8564796447754,602.7874946594238,473.88601303100586,1543.3218479156494
mig,0.8,753.8375854492188,660.3093147277832,972.2614288330078,1977.2729873657227
mig,0.9,4939.4237995147705,3067.6934719085693,2076.751947402954,4471.3544845581055
mig,1.0,8292.783975601196,12035.13479232788,9880.116701126099,10756.784439086914
