mode,load,0_resnet50-32,1_resnet50-32,2_resnet50-32,3_resnet50-32
mig,0.1,45.012712478637695,45.00877857208252,45.1970100402832,87.64779567718506
mig,0.2,44.96622085571289,45.15671730041504,45.06731033325195,87.43858337402344
mig,0.3,44.74139213562012,44.75855827331543,44.722914695739746,87.38970756530762
mig,0.4,44.745683670043945,44.88182067871094,44.73137855529785,87.43596076965332
mig,0.5,44.71111297607422,44.74639892578125,44.83973979949951,87.4335765838623
mig,0.6,44.85583305358887,44.90375518798828,45.0817346572876,87.63086795806885
mig,0.7,45.03369331359863,45.046329498291016,45.09758949279785,87.80932426452637
mig,0.8,45.07184028625488,45.18747329711914,45.237183570861816,88.01150321960449
mig,0.9,45.4258918762207,45.497894287109375,45.557498931884766,88.26625347137451
mig,1.0,45.30632495880127,45.36294937133789,45.49527168273926,88.2871150970459
